Audio File,Clip length(hh:mm:ss),Audio File Size (in MB),Audio Format,Annotation File,Source Video Title,Web Link of the video
UKIERI_ENGLISH_AUDIO_007 .wav,00:19:40,99.3,wav,UKIERI_ENGLISH_AUDIO_007 .TextGrid,Smriti Irani talks about Students Banned at IIT-M : The Newshour Exclusive ,https://www.youtube.com/watch?v=QxoC27ADSrA
UKIERI_ENGLISH_AUDIO_008 .wav,00:43:47,221,wav,UKIERI_ENGLISH_AUDIO_008 .TextGrid,"The Bihar aftershocks [Low, 360p]",https://www.youtube.com/watch?v=wtTBNkWX3SY
UKIERI_ENGLISH_AUDIO_009.wav,00:42:11,212,wav,UKIERI_ENGLISH_AUDIO_009.TextGrid,"Aamir Khan OUT As Incredible India Brand Ambassador  The Newshour Debate (7th Jan 2016) [Low, 360p]",https://www.youtube.com/watch?v=Ku6S2s276Ng
UKIERI_ENGLISH_AUDIO_010.wav,00:19:54,100,wav,UKIERI_ENGLISH_AUDIO_010.TextGrid,"Aamir Khans comments on intolerance Wake-up call or paranoia [Low, 360p]",https://www.youtube.com/watch?v=4bnOUc2AdDk
UKIERI_ENGLISH_AUDIO_011.wav,00:58:53,297,wav,UKIERI_ENGLISH_AUDIO_011.TextGrid,"Anti Wapsi League Grows  The Newshour Debate (3rd November 2015) [Low, 360p]",https://www.youtube.com/watch?v=YWU6POLNtFk
UKIERI_ENGLISH_AUDIO_012.wav,00:39:11,197,wav,UKIERI_ENGLISH_AUDIO_012.TextGrid,Arnab Goswami Vs Rajdeep Sardesai An Open Debate,https://www.youtube.com/watch?v=cpZByuz75a4
UKIERI_ENGLISH_AUDIO_013.wav,00:54:38,275,wav,UKIERI_ENGLISH_AUDIO_013.TextGrid,"Asaduddin owaisi full newshour debate with arnab g [Low, 360p]",https://drive.google.com/file/d/17F_qJuxC1bXfQBZMYo_CrrDlukLWqowh/view?usp=sharing
UKIERI_ENGLISH_AUDIO_014.wav,00:21:00,106,wav,UKIERI_ENGLISH_AUDIO_014.TextGrid,Indira Gandhi - Interview - TV Eye - 1978,https://www.youtube.com/watch?v=q8aETK5pQR4
UKIERI_ENGLISH_AUDIO_015.wav,00:55:31,280,wav,UKIERI_ENGLISH_AUDIO_015.TextGrid,Nation At 9 BJP takes on 'Afzal Guru league',https://www.youtube.com/watch?v=izKOoCuAwkw
UKIERI_ENGLISH_AUDIO_016.wav,00:39:33,199,wav,UKIERI_ENGLISH_AUDIO_016.TextGrid,New aggressive Rahul Gandhi The Newshour Debate (22nd April ,https://www.youtube.com/watch?v=RQmLYgwp9Kc
UKIERI_ENGLISH_AUDIO_017.wav,01:01:34,310,wav,UKIERI_ENGLISH_AUDIO_017.TextGrid,Tribute To Afzal Guru at JNU - Students Crossed All Lines Th,https://www.youtube.com/watch?v=oGN2KOJMaeM
UKIERI_ENGLISH_AUDIO_018.wav,00:14:24,72.6,wav,UKIERI_ENGLISH_AUDIO_018.TextGrid,TVF's Barely Speaking with Arnub _ E01 - Shah Rukh Khan_(360p),https://www.youtube.com/watch?v=YvydCWM9k0w
UKIERI_ENGLISH_AUDIO_019.wav,00:47:57,242,wav,UKIERI_ENGLISH_AUDIO_019.TextGrid,"We The People Beef and the bone of contention [Low, 360p]",https://www.youtube.com/watch?v=C57RTAwiOc4
